imdb_id,atmovies_title_zh,omdb_title,imdb_votes,imdb_rating,atmovies_id,gov_id
tt0244316,一一,Yi Yi,"31,921",8.1,fyen00244316,22894.0
tt8772262,仲夏魘,Midsommar,"457,462",7.1,fmen38772262,13460.0
tt3783958,樂來越愛你,La La Land,"735,553",8.0,flus43783958,31523.0
tt28015403,異教詭屋,Heretic,"194,544",7.0,fhen28015403,29513.0
tt7181546,復仇芭蕾,Ballerina,"105,272",6.9,fben87181546,30940.0
tt37150285,造山者－世紀的賭注,Zao shan zhe - Shi ji de du zhu,N/A,N/A,facn99839420,30704.0
tt28853268,看不見的國家,Invisible Nation,109,7.9,ficn28853268,30008.0
tt0094625,阿基拉,Akira,"220,198",8.0,faone0411161,16264.0
tt35444710,名偵探柯南：獨眼的殘像,Detective Conan: One-Eyed Flashback,622,6.9,fdjp35891502,30809.0
tt16311594,F1電影,F1: The Movie,"208,676",7.8,ffen16311594,31027.0
tt33512868,大雄的繪畫世界物語,Doraemon: Nobita's Art World Tales,N/A,N/A,fdjp33512868,31190.0
tt33477504,長椅小情歌,At the Bench,12,N/A,fajp33477504,30560.0
tt35652414,劇場版 歌之☆王子殿下♪ TABOO NIGHT XXXX,Uta No Prince-Sama: Maji Love Taboo Night Xxxx,N/A,N/A,fmjp35652414,31712.0
tt32820897,「鬼滅之刃」 猗窩座再襲,Demon Slayer: Kimetsu no Yaiba- The Movie - Infinity Castle,"43,310",8.5,fdjp32820897,31365.0
tt26581740,凶器,Weapons,"159,990",7.6,fwen26581740,31364.0
tt37998920,角頭-鬥陣欸,Kak-thâu: Tàu-tin-ê,11,N/A,fgcn53656183,31474.0
tt35009463,電影蠟筆小新：超華麗,Crayon Shin-chan the Movie: Super Hot! The Spicy Kasukabe Dancers,N/A,N/A,fcjp35009463,31355.0
tt37093338,進行曲,Jin xing qu,N/A,N/A,fmcn37093338,29882.0
tt30253473,天作之合,Materialists,"60,266",6.3,fmen30253473,31402.0
tt22898462,厲陰宅：最終聖事,The Conjuring: Last Rites,"45,087",6.3,fcen22898462,31596.0
tt36956670,劇場版 咒術迴戰 懷玉．玉折,JUJUTSU KAISEN: Hidden Inventory/Premature Death - The Movie,624,7.9,fjjp36956670,31685.0
tt9668594,致我所愛之人,Belonging,954,5.7,fbjp34388944,31715.0
tt1641385,96分鐘,96 Minutes,"3,428",5.7,fmtw48244467,27899.0
tt36551651,龍之心-靈界探訪記,Dragon Heart: Adventures Beyond This World,N/A,N/A,fdjp36551651,31520.0
tt36592985,電影版小林家的龍女僕：害怕寂寞的龍,Kobayashi-san Chi no Maid Dragon: Samishigariya no Ryu,N/A,N/A,fmjp36592985,31654.0
tt0096579,我家的事,Family Matters,"31,388",6.6,ffcn48566873,29378.0
tt10374610,大競走,The Long Walk,"28,536",7.3,flen10374610,31769.0
tt33349807,鬼祭,Sugar Mill,"2,678",5.8,fsin33349807,31801.0
tt12617682,捏造：史上最惡殺人教師,Sham,N/A,N/A,fsjp34459901,31713.0
tt1294728,失明,Blind Love,198,5.4,fbcn35332631,29380.0
tt5889974,8號出口,Exit 8,5,4.2,fejp35222590,31836.0
tt30472557,劇場版『鏈鋸人 蕾潔篇』,Chainsaw Man - The Movie: Reze Arc,"3,800",8.5,fcjp30472557,31794.0
tt30144839,一戰再戰,One Battle After Another,"80,634",8.3,foen30144839,31797.0
tt28228082,疾速營救,The Stolen Girl,"5,791",6.4,fsen44682810,31809.0
tt35231528,陌路兄弟,Road's End in Taiwan,7,N/A,fren35231528,31704.0
tt31434122,血怨,Perewangan,N/A,N/A,fpin31434122,31745.0
tt0120401,醜得要命,The Ugly,"3,152",6.0,fuko33514451,31767.0
tt19637278,淒厲人師,The Tutor,"4,820",4.8,ftth36590795,31662.0
tt31184028,永遠在一起,Together,"39,638",6.8,ften31184028,31651.0
tt20865078,熱烈,One and Only,"3,189",6.8,focn20865078,31541.0
tt0191383,傲嬌公主的奇幻冒險,The Proud Princess,928,7.6,fpcz10996076,31796.0
tt31973693,沒好婚姻,The Roses,"12,365",7.0,fren31973693,31835.0
tt33256912,電影版 神奇柑仔店 錢天堂,Fushigi Dagashiya Zenitendo,7,N/A,fsjp33256912,31799.0
tt33830021,他年她日,Ta Nian Ta Ri,N/A,N/A,fmcn47188718,31863.0
tt5089786,一百公尺。,100 Meters,"7,138",7.5,fmjp32600395,31900.0
tt1285248,突破：三千米的泳氣,Second Life,779,4.1,fbtw96355546,31668.0
tt35724819,搗破法蘭克,Smashing Frank,17,N/A,fscn35724819,31776.0
tt32214143,蓋比的娃娃屋大電影,Gabby's Dollhouse: The Movie,N/A,N/A,fgen32214143,31842.0
tt11092020,暗影部隊,Shadow Force,"3,482",4.7,fsen11092020,31037.0
tt2546132,河鰻,Eel,8,6.8,fecn21718805,27106.0
tt31520900,皇家保姆亞瑟,Out of the Nest,69,N/A,foen31520900,31159.0
tt4583316,陰陽眼見子,The Girl Who Sees Smells,"1,618",7.1,fgjp33829458,31904.0
tt0388562,光,The Light,"1,650",7.0,fdde31116299,31702.0
tt27433995,夢想巨無霸,Jumbo,"3,028",8.1,fjin27433995,31808.0
tt4968738,風林火山,Fung lam fo saan,N/A,N/A,fshk44968738,32112.0
tt13650700,奇幻導航,A Big Bold Beautiful Journey,"6,588",6.2,faen13650700,31777.0
tt1527793,徵人啟弒,No Other Choice,N/A,N/A,fnko41527793,32111.0
tt37510071,碰碰狐和貝貝彬歡唱電影,Bebefinn Sing-Along Movie: Into the Pinkfong World,11,N/A,fben37510071,32087.0
tt4718500,鬼吹簫,The Piper,"2,035",6.4,fpen14197038,30062.0
tt27775137,卡夫卡最後的愛,The Glory of Life,308,6.6,fgde27775137,31748.0
tt0077504,世界就是這樣結束的,The End,"4,561",6.1,feen15551346,30864.0
tt13847924,狼來了,Coyotes,382,5.2,fcen34581826,32103.0
tt6604188,創：戰神,Tron: Ares,N/A,N/A,ften36604188,32099.0
